ID_AU,Autores
1429,MaldacenaJ.M
1430,MaldonadoF
1431,MalenJ
1432,MalfettoneA
1433,MalhiG.
1434,MalhotraA
1435,ManagiS
1436,ManchéA
1437,MandalI
1438,Mandarich
1439,MandarichD
1440,ManginJ.-F
1441,ManglaS.K
1442,MangosJ.
1443,MangunG.
1444,MannG
1445,MannR.B
1446,ManningC.N
1447,Mansuet-LupoA
1448,Mantovani
1449,MantovaniA
1450,MaravitaA
1451,MarcusA
1452,MarcusA.
1453,MargolisM
1454,MariqueP
1455,MarkS.
1456,MarkakiM
1457,MarkowitschH.J
1458,MarkusenJ.
1459,Marois
1460,MarquetteC.H
1461,Marrinan
1462,MarsR.B
1463,MarshallIsaacsS
1464,MartelliD
1465,Martin
1466,MartinA.K
1467,MartinR.
1468,MartínezC
1469,MarxR.E
1470,MascioG
1471,MaseratiL
1472,MashourG.
1473,Maskell
1474,MaskellN.
1475,Mason
1476,MassaroV
1477,MasuiH
1478,MathurV.A
1479,MatschossK
1480,Matsuda
1481,MatsuhashiM
1482,MatsumotoR
1483,MatsuoM
1484,MatsuokaY
1485,MauckR.L
1486,MaurerC.W
1487,MavridisS
1488,MavrosP.L
1489,MayerA.R
1490,MayerK
1491,MayoA.
1492,MazerandE
1493,McAllisterC
1494,McCallK.E
1495,McCartyM
1496,McCormick
1497,McElroyJ.C
1498,McGrathB.
1499,McGuireM.K
1500,McHugh
1501,McKinney
1502,McKinnonM.C
1503,McNicoll
1504,McQueenS
1505,MeadowsK
1506,MecklerS.M
1507,MedvedA.J.
1508,MeekB.P
